===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=11.33)] Fim. Melhor F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00)

[GVNS-Pe(eps=13.22)] Solução inicial: F=751097.7778 (f1=920.00, f2=24.00, P_cap=642400.00)
[GVNS-Pe(eps=13.22)] Iter 0: Novo melhor! F=925.0000 (f1=925.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 3: Novo melhor! F=922.0000 (f1=922.00, f2=11.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=13.22)] Iter 4: Novo melhor! F=903.0000 (f1=903.00, f2=12.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=13.22)] Fim. Melhor F=903.0000 (f1=903.00, f2=12.00, P_cap=0.00)

[GVNS-Pe(eps=15.11)] Solução inicial: F=1018171.8889 (f1=883.00, f2=37.00, P_cap=798400.00)
[GVNS-Pe(eps=15.11)] Iter 0: Novo melhor! F=905.0000 (f1=905.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=15.11)] Iter 13: Novo melhor! F=899.0000 (f1=899.00, f2=15.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Fim. Melhor F=899.0000 (f1=899.00, f2=15.00, P_cap=0.00)

[GVNS-Pe(eps=17.00)] Solução inicial: F=1019307.0000 (f1=907.00, f2=37.00, P_cap=818400.00)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=904.0000 (f1=904.00, f2=17.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 13: Novo melhor! F=900.0000 (f1=900.00, f2=17.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Fim. Melhor F=900.0000 (f1=900.00, f2=17.00, P_cap=0.00)

===== [Pε] Execução 3 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1023352.0000 (f1=952.00, f2=22.00, P_cap=802400.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=17233.0000 (f1=1233.00, f2=1.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=11295.0000 (f1=1295.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=1362.0000 (f1=1362.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=1308.0000 (f1=1308.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=1300.0000 (f1=1300.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 1: Novo melhor! F=1295.0000 (f1=1295.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 10: Novo melhor! F=1277.0000 (f1=1277.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 10: Novo melhor! F=1129.0000 (f1=1129.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1129.0000 (f1=1129.00, f2=0.00, P_cap=0.00)

