===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=15.11)] Iter 5: Novo melhor! F=909.0000 (f1=909.00, f2=14.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=15.11)] Iter 10: Novo melhor! F=907.0000 (f1=907.00, f2=10.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=15.11)] Iter 18: Novo melhor! F=905.0000 (f1=905.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=15.11)] Fim. Melhor F=905.0000 (f1=905.00, f2=13.00, P_cap=0.00)

[GVNS-Pe(eps=17.00)] Solução inicial: F=1089310.0000 (f1=910.00, f2=45.00, P_cap=808400.00)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=966.0000 (f1=966.00, f2=15.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=954.0000 (f1=954.00, f2=15.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=944.0000 (f1=944.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=940.0000 (f1=940.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=924.0000 (f1=924.00, f2=15.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 1: Novo melhor! F=921.0000 (f1=921.00, f2=16.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 1: Novo melhor! F=914.0000 (f1=914.00, f2=15.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 1: Novo melhor! F=911.0000 (f1=911.00, f2=17.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 2: Novo melhor! F=902.0000 (f1=902.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 9: Novo melhor! F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Fim. Melhor F=900.0000 (f1=900.00, f2=12.00, P_cap=0.00)

===== [Pε] Execução 3 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=712939.0000 (f1=939.00, f2=39.00, P_cap=322000.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=57097.0000 (f1=1097.00, f2=2.00, P_cap=36000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=7281.0000 (f1=1281.00, f2=0.00, P_cap=6000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=1304.0000 (f1=1304.00, f2=0.00, P_cap=0.00) (k=3)
